k[h/Mpc]	P[(Jy/sr)^2(Mpc/h)^3]
1.00000000e-03	2.31430614e+08
1.09749877e-03	2.51601900e+08
1.20450354e-03	2.73387192e+08
1.32194115e-03	2.96853838e+08
1.45082878e-03	3.22060109e+08
1.59228279e-03	3.49052634e+08
1.74752840e-03	3.77863626e+08
1.91791026e-03	4.08507907e+08
2.10490414e-03	4.40979821e+08
2.31012970e-03	4.75250063e+08
2.53536449e-03	5.11262533e+08
2.78255940e-03	5.48924661e+08
3.05385551e-03	5.88088119e+08
3.35160265e-03	6.28557217e+08
3.67837977e-03	6.70089423e+08
4.03701726e-03	7.12393603e+08
4.43062146e-03	7.55106837e+08
4.86260158e-03	7.97752062e+08
5.33669923e-03	8.39780615e+08
5.85702082e-03	8.80587289e+08
6.42807312e-03	9.19519961e+08
7.05480231e-03	9.55751854e+08
7.74263683e-03	9.88098632e+08
8.49753436e-03	1.01529981e+09
9.32603347e-03	1.03611792e+09
1.02353102e-02	1.04941235e+09
1.12332403e-02	1.05459651e+09
1.23284674e-02	1.05201098e+09
1.35304777e-02	1.04219943e+09
1.48496826e-02	1.02577579e+09
1.62975083e-02	1.00339072e+09
1.78864953e-02	9.75689111e+08
1.96304065e-02	9.43295481e+08
2.15443469e-02	9.06839660e+08
2.36448941e-02	8.66939957e+08
2.59502421e-02	8.24191916e+08
2.84803587e-02	7.79141468e+08
3.12571585e-02	7.32322663e+08
3.43046929e-02	6.84318608e+08
3.76493581e-02	6.35738330e+08
4.13201240e-02	5.87190087e+08
4.53487851e-02	5.39241849e+08
4.97702356e-02	4.92389553e+08
5.46227722e-02	4.47062695e+08
5.99484250e-02	4.03622803e+08
6.57933225e-02	3.62362501e+08
7.22080902e-02	3.23491441e+08
7.92482898e-02	2.87140898e+08
8.69749003e-02	2.53389483e+08
9.54548457e-02	2.22270845e+08
1.04761575e-01	1.93780294e+08
1.14975700e-01	1.67885744e+08
1.26185688e-01	1.44529958e+08
1.38488637e-01	1.23627893e+08
1.51991108e-01	1.05070537e+08
1.66810054e-01	8.87284465e+07
1.83073828e-01	7.44477923e+07
2.00923300e-01	6.20630879e+07
2.20513074e-01	5.14100380e+07
2.42012826e-01	4.23261218e+07
2.65608778e-01	3.46511835e+07
2.91505306e-01	2.82267205e+07
3.19926714e-01	2.29000286e+07
3.51119173e-01	1.85275667e+07
3.85352859e-01	1.49755723e+07
4.22924287e-01	1.21206162e+07
4.64158883e-01	9.84890638e+06
5.09413801e-01	8.05888233e+06
5.59081018e-01	6.66224163e+06
6.13590727e-01	5.58302710e+06
6.73415066e-01	4.75685431e+06
7.39072203e-01	4.13042619e+06
8.11130831e-01	3.65939150e+06
8.90215085e-01	3.30714470e+06
9.77009957e-01	3.04426205e+06
1.07226722e+00	2.84765912e+06
1.17681195e+00	2.69940343e+06
1.29154967e+00	2.58608831e+06
1.41747416e+00	2.49802691e+06
1.55567614e+00	2.42833800e+06
1.70735265e+00	2.37220805e+06
1.87381742e+00	2.32633291e+06
2.05651231e+00	2.28830410e+06
2.25701972e+00	2.25631352e+06
2.47707636e+00	2.22901626e+06
2.71858824e+00	2.20542137e+06
2.98364724e+00	2.18479349e+06
3.27454916e+00	2.16658782e+06
3.59381366e+00	2.15038705e+06
3.94420606e+00	2.13585530e+06
4.32876128e+00	2.12269710e+06
4.75081016e+00	2.11059667e+06
5.21400829e+00	2.09927868e+06
5.72236766e+00	2.08852112e+06
6.28029144e+00	2.07814366e+06
6.89261210e+00	2.06800089e+06
7.56463328e+00	2.05797975e+06
8.30217568e+00	2.04799999e+06
9.11162756e+00	2.03801597e+06
1.00000000e+01	2.02801826e+06
